COUNTRY,EVENT,CITY,description
Egypt,Egypt Defence Expo,,"Egypt Defence Expo (EDEX) is an international defense exhibition held biennially in Egypt, showcasing advancements in air, land, and sea military technologies"
Egypt,Cairo Congress of Arab Music,Cairo,"The Congrès du Caire (First Congress of Arab Music; Arabic: مؤتمر الموسيقى العربية الأول; Mu'tamar al'mūsiqā al-'arabiyya al-awwal) was a large international symposium and music festival that was convened by King Fuad I in Cairo, Egypt, from March 14 to April 3, 1932"
Egypt,Pangea Day,,"Pangea Day is an international multimedia event conducted on May 10, 2008"
Egypt,Egycon,Cairo,"Egycon (Arabic: ايجيكون) (stylized as EGYCON or EGYcon) is a speculative fiction convention held annually in Cairo, Egypt"
Egypt,Tanta,,"Tanta (Egyptian Arabic: طنطا Ṭanṭa  pronounced [ˈtˤɑntˤɑ], Coptic: ⲧⲁⲛⲧⲁⲑⲟ) is a city in Egypt"
Egypt,Cairo International Book Fair,Cairo,"The Cairo International Book Fair is the largest and oldest book fair in the Arab world, held every year in the last week of January in Cairo, Egypt, at Egypt International Exhibitions Center in New Cairo, it is organised by the General Egyptian Book Organisation"
Algeria,Ashura,,"Ashura (Arabic: عَاشُورَاء, ʿĀshūrāʾ, [ʕaːʃuːˈraːʔ]) is a day of commemoration in Islam"
Algeria,Ashura in Algeria,,"In Algeria, the Islamic festival of Ashura (Arabic: يوم عاشوراء), on 10 Muharram, is a public holiday, traditionally marked by celebration, zakat-giving, fasting, and cemetery visits depending on the region"
Algeria,Wezeea,,"Wezeea (Arabic: وزيعة) or Thawzeeath, also known as Thamcherateth (Arabic: ثامشرطث), is the term used in Algeria to designate one of the cultural customs in a Sufi society observed by the inhabitants of rural areas, especially the Berbers of the Kabylia region"
Algeria,Mawlid,,"Mawlid (Arabic: مولد), also known as Eid-e-Milad an-Nabi (Arabic: عید ميلاد النبي, romanized: ʿīd mīlad an-nabī, lit"
Algeria,Yennayer,,Yennayer is the first month of the Berber (Amazigh) calendar
Algeria,Fantasia (performance),,Fantasia (Arabic: الفانتازيا) is a traditional exhibition of horsemanship in the Maghreb performed during cultural festivals and for Maghrebi wedding celebrations
Algeria,Algiers International Comics Festival,Algiers,"The Algiers International Comics Festival (Festival International de la Bande Dessinée d’Alger, FIBDA) is a thematic festival organized in Algiers, Algeria, which was launched in 2008"
Algeria,15th World Festival of Youth and Students,Algiers,"The 15th World Festival of Youth and Students (WFYS) was organized by the World Federation of Democratic Youth (WFDY) in Algiers, Algeria, from 8 to 16 August 2001 for nine days, under the slogan ""Let's globalize the struggle for Peace, Solidarity, Development, against Imperialism"""
Algeria,Mawsim,,"Mawsim or moussem (Arabic: موسم), waada, or raqb, is the term used in the Maghreb to designate an annual regional festival in which worshippers usually combine the religious celebration of local Marabouts or Sufi Tariqas, with various festivities and commercial activities"
Algeria,Mawlid in Algeria,,"In Algeria, the Day of Mawlid (Arabic: يوم المولد النبوي; meaning the Birth of Muhammad) has been traditionally a day of celebration and joy, because Mawlid is celebrated on the twelfth day of Rabiʽ al-Awwal across the Muslim world"
