,id,name,reviews,rating,website,email,phone,link,address,latitude,longitude,featured_image,ranking,reviews_per_rating,review_keywords,city,destinationType,TAG
0,19656581,Sol Oasis Marrakech - All Inclusive,3822,5.0,https://tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=19656581&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=321026819&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdwn65QtegohMAKCTd3g4W96-gpVGGxMQtZN1rmPPsILsg&adults=2&child_rm_ages=&inDay=5&outDay=6&rooms=1&inMonth=3&inYear=2025&outMonth=3&outYear=2025&def_d=false&bapid=1&cs=15b5696af060b29c139a82e5255b22986_MkT,,1 (929) 207-1033,https://www.tripadvisor.com/Hotel_Review-g293734-d19656581-Reviews-Sol_Oasis_Marrakech_All_Inclusive-Marrakech_Marrakech_Safi.html,"Douar Ben Rahmoun, Marrakech 40000 Morocco",31.706884,-7.957389,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/27/eb/90/sol-oasis-marrakech.jpg,"{""current_rank"": 58, ""total"": 800}","{""1"": 19, ""2"": 30, ""3"": 76, ""4"": 301, ""5"": 3396}","['entertainment team', 'sou sou', 'kids club', 'pasta station', 'pool games', 'evening shows', 'free shuttle', 'aqua aerobics', 'fantastic week', 'every night', 'table tennis', 'amazing holiday', 'an amazing hotel', 'all inclusive hotel', 'relaxing holiday', 'tennis courts', 'belly dancing', 'minute drive', 'winter sun', 'reception staff', 'restaurant staff', 'buffet restaurant', 'plenty of sunbeds', 'main restaurant', 'tagine', 'atlas mountains', 'zizou', 'fatima', 'susu', 'bira']",Marrakech,Hotel,"['Elegant Retreats', 'Luxury Lounge']"
1,11668071,La Villa Jardins D'Isa,103,5.0,,,,https://www.tripadvisor.com/Hotel_Review-g11750917-d11668071-Reviews-La_Villa_Jardins_D_Isa-Tassoultante_Marrakech_Marrakech_Safi.html,"Km 5 Route de Tahanaout, Tassoultante, Marrakech 40065 Morocco",31.539368,-7.994366,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4e/56/10/decouverte-de-notre-piscine.jpg,"{""current_rank"": 1, ""total"": 3}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 5, ""5"": 98}","['tagine', 'badminton', 'olives', 'taxi', 'pool', 'marrakech']",Marrakech,Hotel,"['Outdoor Spaces', 'airport']"
2,7856438,Aqua Mirage Marrakech Hotel Club,7773,4.0,,,,https://www.tripadvisor.com/Hotel_Review-g293734-d7856438-Reviews-Aqua_Mirage_Marrakech_Hotel_Club-Marrakech_Marrakech_Safi.html,"Km 5, Route De Tahanaout, Marrakech 40065 Morocco",31.534746,-7.992454,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f0/1b/5d/aqua-parc.jpg,"{""current_rank"": 205, ""total"": 800}","{""1"": 486, ""2"": 363, ""3"": 716, ""4"": 1666, ""5"": 4544}","['animation team', 'main pool', 'michael jackson show', 'kids club', 'family holiday', 'foam party', 'tui rep', 'quiet pool', 'football pitch', 'great holiday', 'fizzy drinks', 'every night', 'paninis', 'pool party', 'evening entertainment', 'interconnecting rooms', 'meal times', 'shuttle bus', 'restaurant staff', 'water polo', 'belly dancing', 'shower room', 'plenty of sunbeds', 'tennis courts', 'cleaned daily', 'all inclusive hotel', 'hotel grounds', 'cleaned every day', 'table tennis', 'sun loungers']",Marrakech,Hotel,"['parking', 'Resort & Relaxation', 'Hospitality', 'Hotel Staff', 'Late Night Experience']"
3,12219158,Riad Andallaspa,1205,5.0,,,,https://www.tripadvisor.com/Hotel_Review-g293734-d12219158-Reviews-Riad_Andallaspa-Marrakech_Marrakech_Safi.html,"Rue Tihzrit Arset Laghzail, Marrakech 40000 Morocco",31.626806,-7.981988,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/97/15/6a/getlstd-property-photo.jpg,"{""current_rank"": 2, ""total"": 1251}","{""1"": 0, ""2"": 3, ""3"": 2, ""4"": 18, ""5"": 1182}","['the main square', 'family suite', 'location is great', 'mint tea', 'jemaa el fnaa square', 'tagine', 'hammam massage', 'cooking class', 'rooftop terrace', 'the entire staff', 'an oasis', 'yogurt', 'breakfast and dinner', 'ten minute walk', 'quiet street', 'moroccan culture', 'beautiful decor', 'felt like home', 'heart of marrakech', 'every morning', 'home away from home', 'highly recommend this riad', 'taxi driver', 'spent nights', 'fantastic stay', 'old city', 'the hustle and bustle', 'atlas mountains', 'morocco', 'yunus']",Marrakech,Hotel,"['Arabic', 'Opulent Escapes', 'Hotel Staff', 'Guest Experience', 'Nightlife', 'City Vibes', 'luggage', 'French Flair']"
4,303075,La Maison Arabe,3716,5.0,,,,https://www.tripadvisor.com/Hotel_Review-g293734-d303075-Reviews-La_Maison_Arabe-Marrakech_Marrakech_Safi.html,"1 Derb Assehbe Bab Doukkala, Marrakech 40000 Morocco",31.630224,-7.996193,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/1f/dd/37/exterior.jpg,"{""current_rank"": 10, ""total"": 800}","{""1"": 7, ""2"": 9, ""3"": 23, ""4"": 145, ""5"": 3229}","['jazz bar', 'cooking class', 'cooking school', 'international restaurant', 'cookery course', 'royal suite', 'tagine', 'beautiful hotel', 'welcome drink', 'boutique hotel', 'moroccan cuisine', 'an oasis', 'heated pool', 'free shuttle', 'visiting marrakech', 'hammam and massage', 'old city', 'atlas mountains', 'mint tea', 'the main square', 'the hustle and bustle', 'yogurt', 'jemaa el', 'morocco', 'dada', 'medina', 'adil', 'courtyard', 'luxury', 'musicians']",Marrakech,Hotel,"['riad', 'Swimming & Pools', 'Peace & Quiet', 'Vibrant Nightlife']"
5,8634354,Savoy Le Grand Hotel,3304,4.0,,,,https://www.tripadvisor.com/Hotel_Review-g293734-d8634354-Reviews-Savoy_Le_Grand_Hotel-Marrakech_Marrakech_Safi.html,"Av. Prince Moulay Rachid, Marrakech 40000 Morocco",31.617529,-8.008924,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/2d/58/8c/photo-principale.jpg,"{""current_rank"": 232, ""total"": 800}","{""1"": 243, ""2"": 159, ""3"": 261, ""4"": 601, ""5"": 2040}","['buddha bar', 'amazing hotel', 'breakfast restaurant', 'pool view', 'guest relations', 'coffee machine', 'moroccan tea', 'main pool', 'crepes', 'atlas mountains', 'menara', 'concierge', 'mourad', 'supermarket', 'medina', 'morocco', 'sara', 'poolside', 'cleaners', 'taxis', 'hammam']",Marrakech,Hotel,"['buffet', 'Guest Experience', 'Sports & Spirits']"
6,609383,Riad Dar Anika,2205,5.0,,,,https://www.tripadvisor.com/Hotel_Review-g293734-d609383-Reviews-Riad_Dar_Anika-Marrakech_Marrakech_Safi.html,"112 Rue Riad Zitoun el Kdim, Marrakech 40000 Morocco",31.620365,-7.98589,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/54/c7/79/riad-dar-anika.jpg,"{""current_rank"": 37, ""total"": 800}","{""1"": 3, ""2"": 1, ""3"": 16, ""4"": 98, ""5"": 2087}","['riad dar', 'roof terrace', 'rose petals', 'mint tea', 'atlas mountains', 'the main square', 'the hustle and bustle', 'the entire staff', 'an oasis', 'the location is perfect', 'bahia palace', 'first morning', 'fresh fruit', 'old city', 'highly recommend this riad', 'perfect stay', 'day trip', 'small pool', 'jemaa el', 'pancakes', 'hammam', 'souks', 'morocco', 'map', 'briefing', 'guide', 'excursions', 'taxis', 'sanctuary', 'raid']",Marrakech,Hotel,"['riad', 'Dining', 'Outdoor Spaces', 'Easy Access', 'Walk & Discover']"
7,1053257,Iberostar Waves Club Palmeraie Marrakech,4124,4.5,,,,https://www.tripadvisor.com/Hotel_Review-g293734-d1053257-Reviews-Iberostar_Waves_Club_Palmeraie_Marrakech-Marrakech_Marrakech_Safi.html,"6 Commune Rurale Ouidane, Marrakech 03759 Morocco",31.6639,-7.899582,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/23/0f/14/caption.jpg,"{""current_rank"": 135, ""total"": 800}","{""1"": 30, ""2"": 68, ""3"": 157, ""4"": 778, ""5"": 3091}","['zen pool', 'main pool', 'moroccan restaurant', 'kids pool', 'white party', 'animation team', 'table tennis', 'cocktail party', 'fabulous hotel', 'shuttle bus', 'great holiday', 'moroccan night', 'small balcony', 'evening entertainment', 'garden view', 'tennis courts', 'main restaurant', 'meal times', 'aqua gym', 'kids club', 'water polo', 'visited this hotel', 'every member of staff', 'all inclusive package', 'the general manager', 'crepes', 'restaurant staff', 'pool towels', 'winter sun', 'family holiday']",Marrakech,Hotel,"['parking', 'Arabic', 'Resort & Relaxation', 'Vacation Bliss', 'Marrakech Magic']"
8,12641938,The Central House Marrakech Medina,526,4.5,,,,https://www.tripadvisor.com/Hotel_Review-g293734-d12641938-Reviews-The_Central_House_Marrakech_Medina-Marrakech_Marrakech_Safi.html,"Amssafah 32, Marrakech 40000 Morocco",31.633327,-7.987936,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b9/69/20/rodamon-riad-marrakech.jpg,"{""current_rank"": 12, ""total"": 411}","{""1"": 5, ""2"": 8, ""3"": 18, ""4"": 58, ""5"": 437}","['dorm room', 'female dorm', 'shared rooms', 'crazy souks', 'common areas', 'great amenities', 'private bathroom', 'every staff member', 'rooftop deck', 'walking tour', 'cleaned every day', 'your luggage', 'great place to stay', 'comfy bed', 'location is great', 'would definitely stay here again', 'enjoyed my stay', 'boutique hotel', 'perfect stay', 'airport transfer', 'air conditioning', 'breakfast was delicious', 'an oasis', 'old city', 'the hustle and bustle', 'jemaa el', 'beautiful riad', 'atlas mountains', 'hostels', 'curtains']",Marrakech,Hotel,"['parking', 'long stay', 'Guided Adventures']"
9,301256,La Mamounia Marrakech,4037,4.5,,,,https://www.tripadvisor.com/Hotel_Review-g293734-d301256-Reviews-La_Mamounia_Marrakech-Marrakech_Marrakech_Safi.html,"Avenue Bab Jdid Mamounia SPA Hamam, Marrakech 40040 Morocco",31.621534,-7.99749,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/fe/c4/81/hotel-entrance.jpg,"{""current_rank"": 211, ""total"": 800}","{""1"": 267, ""2"": 188, ""3"": 287, ""4"": 577, ""5"": 2718}","['beautiful hotel', 'churchill bar', 'winston churchill', 'moroccan restaurant', 'best hotels in the world', 'luxury hotel', 'gardens are beautiful', 'tennis courts', 'four seasons', 'indoor pool', 'an oasis', 'atlas mountains', 'the hustle and bustle', 'mint tea', 'spa', 'concierge', 'palace', 'terrace', 'french', 'koutoubia', 'hammam', 'olives', 'culture', 'souk', 'tranquility']",Marrakech,Hotel,"['Arabic', 'Refreshing Retreats', 'Jemaa El-Fnaa Experience']"
