,id,name,description,reviews,rating,link,email,phone,website,featured_image,ranking,address,detailed_address,latitude,longitude,reviews_per_rating,review_keywords,is_open,open_hours,menu_link,delivery_url,price_range,cuisines,diets,meal_types,dining_options,owner_types,top_tags,city,destinationType,merged_keywords,TAG
0,26875027,Aglio e Olio,,42.0,5.0,https://www.tripadvisor.com/Restaurant_Review-g293734-d26875027-Reviews-Aglio_e_Olio-Marrakech_Marrakech_Safi.html,contact@aglioeolio.ma,+212 5243-80274,https://www.aglioeolio.ma,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/02/14/5e/restaurant-aglio-e-olio.jpg,"{""current_rank"": 242, ""total"": 1580}","Zone Commerciale, Domaine de Noria Marrakech, Marrakech 40000 Morocco","{""street"": ""Zone Commerciale, Domaine de Noria, Marrakech"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.572933,-8.01792,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 41}",[],True,"{""sun"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""mon"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""tue"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""wed"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""thu"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""fri"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""sat"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}]}",https://www.aglioeolio.ma/,,$$ - $$$,"['Italian', 'Pizza']",['Vegetarian friendly'],"['Lunch', 'Dinner', 'Late Night']","['Takeout', 'Reservations', 'Outdoor Seating', 'Seating', 'Free off-street parking', 'Wheelchair Accessible', 'Mastercard', 'Visa', 'Cash Only', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Non-smoking restaurants']",[],"['Mid-range', 'Italian', 'Pizza', 'Vegetarian friendly']",Marrakech,Restaurant,"['Italian', 'Pizza', 'Vegetarian friendly', 'Lunch', 'Dinner', 'Late Night', 'Takeout', 'Reservations', 'Outdoor Seating', 'Seating', 'Free off-street parking', 'Wheelchair Accessible', 'Mastercard', 'Visa', 'Cash Only', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Non-smoking restaurants', 'Mid-range', 'Italian', 'Pizza', 'Vegetarian friendly']",['Easy Access']
1,29009202,Fer7 Marrakech,,13.0,4.5,https://www.tripadvisor.com/Restaurant_Review-g293734-d29009202-Reviews-Fer7_Marrakech-Marrakech_Marrakech_Safi.html,contact@fer7marrakech.com,+212 5244-40459,https://fer7marrakech.com,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/12/c1/91/ambiance.jpg,"{""current_rank"": 565, ""total"": 1580}","Noria Golf Club, Marrakech, Marrakech 40000 Morocco","{""street"": ""Noria Golf Club, Marrakech"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.560703,-8.014902,"{""1"": 0, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 9}",[],True,"{""sun"": [{""open"": ""12:00:00"", ""close"": ""02:00:00""}], ""mon"": [{""open"": ""12:00:00"", ""close"": ""02:00:00""}], ""tue"": [{""open"": ""12:00:00"", ""close"": ""02:00:00""}], ""wed"": [{""open"": ""12:00:00"", ""close"": ""02:00:00""}], ""thu"": [{""open"": ""12:00:00"", ""close"": ""02:00:00""}], ""fri"": [{""open"": ""12:00:00"", ""close"": ""02:00:00""}], ""sat"": [{""open"": ""12:00:00"", ""close"": ""02:00:00""}]}",,,,['Japanese Fusion'],[],"['Lunch', 'Dinner']","['Takeout', 'Reservations', 'Outdoor Seating', 'Buffet', 'Private Dining', 'Seating', 'Parking Available', 'Street Parking', 'Validated Parking', 'Valet Parking', 'Free off-street parking', 'Television', 'Full Bar', 'Wine and Beer', 'American Express', 'Mastercard', 'Visa', 'Digital Payments', 'Cash Only', 'Free Wifi', 'Discover', 'Accepts Credit Cards', 'Table Service', 'Live Music', 'Waterfront', 'Playgrounds', 'Family style', 'Non-smoking restaurants', 'Sports bars']",[],['Japanese Fusion'],Marrakech,Restaurant,"['Japanese Fusion', 'Lunch', 'Dinner', 'Takeout', 'Reservations', 'Outdoor Seating', 'Buffet', 'Private Dining', 'Seating', 'Parking Available', 'Street Parking', 'Validated Parking', 'Valet Parking', 'Free off-street parking', 'Television', 'Full Bar', 'Wine and Beer', 'American Express', 'Mastercard', 'Visa', 'Digital Payments', 'Cash Only', 'Free Wifi', 'Discover', 'Accepts Credit Cards', 'Table Service', 'Live Music', 'Waterfront', 'Playgrounds', 'Family style', 'Non-smoking restaurants', 'Sports bars', 'Japanese Fusion']","['parking', 'restaurant', 'Hotel Staff', 'Vibrant Pub Vibes']"
2,4953449,Pointbar,"In a quiet street of Gueliz is the Pointbar, an establishment that will not leave you indifferent! With its large interior spaces with refined and contemporary decoration, you will quickly feel at ease to enjoy a few tapas over a drink or enjoy delicious international cuisine during a meal with friends. You can also enjoy a huge tree-lined terrace to lounge on one of the sofas to the rhythm of the music played each evening by the resident DJ. We inform our dear customers that the restaurant is smoking.",1818.0,5.0,https://www.tripadvisor.com/Restaurant_Review-g293734-d4953449-Reviews-Pointbar-Marrakech_Marrakech_Safi.html,infos.pointbar@gmail.com,+212 600-015010,http://www.pointbar-restaurant.com,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/d1/9b/3a/terrasse-pointbar-marrakech.jpg,"{""current_rank"": 3, ""total"": 1580}","3 bis rue Abou Hayane, Marrakech 40000 Morocco","{""street"": ""3 bis rue Abou Hayane"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.639067,-8.014753,"{""1"": 22, ""2"": 10, ""3"": 20, ""4"": 111, ""5"": 1655}","[""mussels"", ""gyoza"", ""tapas"", ""steak"", ""our waiter"", ""great atmosphere"", ""food was amazing"", ""saturday night"", ""beautiful decor"", ""visiting marrakech"", ""lovely evening"", ""anwar"", ""dj"", ""waiters"", ""taxi"", ""morocco"", ""entertainment"", ""medina""]",True,"{""sun"": [{""open"": ""17:00:00"", ""close"": ""02:00:00""}], ""mon"": [{""open"": ""17:00:00"", ""close"": ""02:00:00""}], ""tue"": [{""open"": ""17:00:00"", ""close"": ""02:00:00""}], ""wed"": [{""open"": ""17:00:00"", ""close"": ""02:00:00""}], ""thu"": [{""open"": ""17:00:00"", ""close"": ""02:00:00""}], ""fri"": [{""open"": ""17:00:00"", ""close"": ""02:00:00""}], ""sat"": [{""open"": ""17:00:00"", ""close"": ""02:00:00""}]}",http://www.pointbar-restaurant.com/menu,,$$ - $$$,"['Moroccan', 'International', 'Healthy']","['Vegetarian friendly', 'Vegan options']","['Dinner', 'Late Night', 'Drinks']","['Reservations', 'Outdoor Seating', 'Seating', 'Street Parking', 'Valet Parking', 'Television', 'Serves Alcohol', 'Visa', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Live Music']",[],"['Mid-range', 'Moroccan', 'International', 'Vegetarian friendly']",Marrakech,Restaurant,"['Moroccan', 'International', 'Healthy', 'Vegetarian friendly', 'Vegan options', 'Dinner', 'Late Night', 'Drinks', 'Reservations', 'Outdoor Seating', 'Seating', 'Street Parking', 'Valet Parking', 'Television', 'Serves Alcohol', 'Visa', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Live Music', 'Mid-range', 'Moroccan', 'International', 'Vegetarian friendly']","['Cultural', 'Cuisine', 'Easy Access', 'Accessible Leisure']"
3,20062114,La Terrasse De La Brillante - Rooftop,"The restaurant is located on the rooftop of the new luxury boutique hotel La Brillante, in the heart of the Medina of Marrakech, with a wonderful view on the Atlas and the Koutoubia. During the cold season, depending of the weather, we serve our customers at our Laila restaurant. Lightness, modernity and passion are the key words of a cuisine that wishes to play with classic culinary codes while preserving the essential taste. You will enjoy a lunch, a dinner preceded by a cocktail in the lounge area or a private special event for you and your guests. Take advantage of the breathtaking view during the day, at the sunset or at night.",642.0,5.0,https://www.tripadvisor.com/Restaurant_Review-g293734-d20062114-Reviews-La_Terrasse_De_La_Brillante_Rooftop-Marrakech_Marrakech_Safi.html,contact@h-labrillante.com,+212 696-035951,http://www.laterrassedelabrillante.com/,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/83/47/cf/wonderful-evening-on.jpg,"{""current_rank"": 9, ""total"": 1580}","Rue Bahia 6, Marrakech 40000 Morocco","{""street"": ""Rue Bahia 6"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.62239,-7.98403,"{""1"": 3, ""2"": 1, ""3"": 12, ""4"": 27, ""5"": 599}","[""tuna"", ""bahia palace"", ""modern setting"", ""great food"", ""romantic dinner"", ""wonderful evening"", ""beautiful place"", ""nice view"", ""mohammad"", ""rooftop"", ""ambience"", ""medina"", ""oasis"", ""appetizers"", ""sunset"", ""morocco""]",True,"{""sun"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""mon"": [], ""tue"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""wed"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""thu"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""fri"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""sat"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}]}",https://en.laterrassedelabrillante.com/_files/ugd/a93b3f_5089d161ee7140b199ea14686faea9ba.pdf,,$$$$,"['Moroccan', 'International', 'Mediterranean', 'Healthy', 'Dining bars']",[],"['Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","['Reservations', 'Outdoor Seating', 'Seating', 'Wheelchair Accessible', 'Accepts Credit Cards', 'Table Service']",[],"['Fine Dining', 'Moroccan', 'International']",Marrakech,Restaurant,"['Moroccan', 'International', 'Mediterranean', 'Healthy', 'Dining bars', 'Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks', 'Reservations', 'Outdoor Seating', 'Seating', 'Wheelchair Accessible', 'Accepts Credit Cards', 'Table Service', 'Fine Dining', 'Moroccan', 'International']","['experience', 'Outdoor Spaces', 'restaurant', 'Accommodation', 'Nightlife', 'lounge']"
4,10381297,Palais Dar Soukkar,"Palais Dar Soukkar offers to its guests the possibility to taste international, moroccan and asian cuisine , in an enchanting indoor ""Arabian nights"" atmosphere , or outside under the stars of Marrakesh. Located minutes from the city center, it also has a lounge if you want to enjoy a drink in a relaxing and chic spirit.",2585.0,4.5,https://www.tripadvisor.com/Restaurant_Review-g293734-d10381297-Reviews-Palais_Dar_Soukkar-Marrakech_Marrakech_Safi.html,contact@darsoukkar.com,+212 5243-75535,http://www.darsoukkar.com,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/7b/8b/8f/outdoor-live-show-terrace.jpg,"{""current_rank"": 80, ""total"": 1580}","Km 3,5 Route de l'Ourika, Marrakech 40000 Morocco","{""street"": ""Km 3,5 Route de l'Ourika"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.574932,-7.978856,"{""1"": 152, ""2"": 65, ""3"": 60, ""4"": 200, ""5"": 2108}","[""cake"", ""amazing entertainment"", ""amazing night"", ""our waiter"", ""nice dinner"", ""visiting marrakech"", ""amazing restaurant"", ""walid"", ""marais"", ""entertainers"", ""dj"", ""palace"", ""waiters"", ""dancing"", ""marakesh"", ""morocco"", ""taxi"", ""candles""]",True,"{""sun"": [{""open"": ""19:00:00"", ""close"": ""03:00:00""}], ""mon"": [{""open"": ""19:00:00"", ""close"": ""03:00:00""}], ""tue"": [{""open"": ""19:00:00"", ""close"": ""03:00:00""}], ""wed"": [{""open"": ""19:00:00"", ""close"": ""03:00:00""}], ""thu"": [{""open"": ""19:00:00"", ""close"": ""03:00:00""}], ""fri"": [{""open"": ""19:00:00"", ""close"": ""03:00:00""}], ""sat"": [{""open"": ""19:00:00"", ""close"": ""03:00:00""}]}",https://darsoukkar.com/pdf/Menu-DarSoukkar.pdf,,$$ - $$$,"['French', 'Moroccan', 'International', 'Mediterranean', 'European']","['Vegetarian friendly', 'Vegan options', 'Halal']","['Dinner', 'Late Night', 'Drinks']","['Reservations', 'Outdoor Seating', 'Private Dining', 'Seating', 'Parking Available', 'Validated Parking', 'Valet Parking', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']",[],"['Mid-range', 'French', 'Moroccan', 'Vegetarian friendly']",Marrakech,Restaurant,"['French', 'Moroccan', 'International', 'Mediterranean', 'European', 'Vegetarian friendly', 'Vegan options', 'Halal', 'Dinner', 'Late Night', 'Drinks', 'Reservations', 'Outdoor Seating', 'Private Dining', 'Seating', 'Parking Available', 'Validated Parking', 'Valet Parking', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Mid-range', 'French', 'Moroccan', 'Vegetarian friendly']","['Heritage', 'Prime Location', 'Vibrant Nightlife', 'lounge']"
5,24008107,Rooftop Garden,,809.0,4.5,https://www.tripadvisor.com/Restaurant_Review-g293734-d24008107-Reviews-Rooftop_Garden-Marrakech_Marrakech_Safi.html,rooftop-marrakech@nobuhotels.com,+212 670-034422,https://marrakech.nobuhotels.com/dining-rooftop-garden/?utm_source=tripadvisor&utm_medium=organic,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/1a/ac/e8/rooftop-garden.jpg,"{""current_rank"": 119, ""total"": 1580}","Angle Avenue Echouhada Et, Rue Du Temple, Marrakech 40000 Morocco","{""street"": ""Angle Avenue Echouhada Et, Rue Du Temple"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.622347,-8.000666,"{""1"": 51, ""2"": 22, ""3"": 16, ""4"": 50, ""5"": 670}","[""tasting menu"", ""exceptional food"", ""our waiter"", ""pool"", ""panorama"", ""presentation""]",True,"{""sun"": [{""open"": ""10:00:00"", ""close"": ""01:00:00""}], ""mon"": [{""open"": ""10:00:00"", ""close"": ""01:00:00""}], ""tue"": [{""open"": ""10:00:00"", ""close"": ""01:00:00""}], ""wed"": [{""open"": ""10:00:00"", ""close"": ""01:00:00""}], ""thu"": [{""open"": ""10:00:00"", ""close"": ""01:00:00""}], ""fri"": [{""open"": ""10:00:00"", ""close"": ""01:00:00""}], ""sat"": [{""open"": ""10:00:00"", ""close"": ""01:00:00""}]}",https://linktr.ee/rooftopgardenmenus,,$$ - $$$,['Bar'],[],"['Lunch', 'Dinner', 'Brunch', 'Drinks']","['Reservations', 'Seating', 'Parking Available', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']",[],"['Mid-range', 'Bar']",Marrakech,Restaurant,"['Bar', 'Lunch', 'Dinner', 'Brunch', 'Drinks', 'Reservations', 'Seating', 'Parking Available', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Mid-range', 'Bar']","['Live Jazz & Blues', 'Accessible Leisure']"
6,24188953,Fluffy,,1474.0,5.0,https://www.tripadvisor.com/Restaurant_Review-g293734-d24188953-Reviews-Fluffy-Marrakech_Marrakech_Safi.html,fluffymarrakech@gmail.com,+212 660-232405,https://fluffy.ma,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/d8/9d/7f/cotelettes-grilles.jpg,"{""current_rank"": 4, ""total"": 1580}","91 Hommane Fetouaki Arsat Maach, Au 1er Etage Du Medina Mall, Marrakech 40000 Morocco","{""street"": ""91 Hommane Fetouaki, Arsat Maach, Au 1er Etage Du Medina Mall"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.620464,-7.986483,"{""1"": 8, ""2"": 9, ""3"": 10, ""4"": 67, ""5"": 1382}","[""fluffy pancakes"", ""beef stroganoff"", ""caesar salad"", ""juice"", ""burger"", ""ice cream"", ""bread"", ""salted caramel"", ""amazing food"", ""generous portions"", ""cafe restaurant"", ""visiting marrakech"", ""beautiful place"", ""service was excellent"", ""mint tea"", ""detox"", ""medina"", ""dessert"", ""waiter"", ""smoothies"", ""madness"", ""escape"", ""calm"", ""market"", ""break""]",True,"{""sun"": [{""open"": ""10:00:00"", ""close"": ""23:00:00""}], ""mon"": [{""open"": ""10:00:00"", ""close"": ""23:00:00""}], ""tue"": [{""open"": ""10:00:00"", ""close"": ""23:00:00""}], ""wed"": [{""open"": ""10:00:00"", ""close"": ""23:00:00""}], ""thu"": [{""open"": ""10:00:00"", ""close"": ""23:00:00""}], ""fri"": [{""open"": ""10:00:00"", ""close"": ""23:00:00""}], ""sat"": [{""open"": ""10:00:00"", ""close"": ""23:00:00""}]}",https://web.openflow.pro/65f978f0da540146afaddc6a,,$,"['American', 'Moroccan', 'International', 'Mediterranean', 'Healthy']",[],"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Drinks']","['Delivery', 'Takeout', 'Reservations', 'Seating', 'Street Parking', 'Television', 'Mastercard', 'Visa', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Family style', 'Non-smoking restaurants']",[],"['Cheap Eats', 'American', 'Moroccan']",Marrakech,Restaurant,"['American', 'Moroccan', 'International', 'Mediterranean', 'Healthy', 'Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Drinks', 'Delivery', 'Takeout', 'Reservations', 'Seating', 'Street Parking', 'Television', 'Mastercard', 'Visa', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Family style', 'Non-smoking restaurants', 'Cheap Eats', 'American', 'Moroccan']","['experience', 'Vibrant Pub Vibes', 'Positive Vibes']"
7,10379055,Saladbox,,271.0,4.5,https://www.tripadvisor.com/Restaurant_Review-g293734-d10379055-Reviews-Saladbox-Marrakech_Marrakech_Safi.html,saladboxmarrakech@gmail.com,+212 694-830226,https://saladboxmarrakech.com,https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/11/06/db/plongez-dans-la-fraicheur.jpg,"{""current_rank"": 210, ""total"": 1580}","2 Avenue Yacoub El marini Gueliz, Marrakech 40000 Morocco","{""street"": ""2 Avenue Yacoub El marini, Gueliz"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.631153,-8.007917,"{""1"": 16, ""2"": 10, ""3"": 9, ""4"": 31, ""5"": 205}","[""salad"", ""french"", ""waiter""]",True,"{""sun"": [{""open"": ""11:00:00"", ""close"": ""00:00:00""}], ""mon"": [{""open"": ""11:00:00"", ""close"": ""00:00:00""}], ""tue"": [{""open"": ""11:00:00"", ""close"": ""00:00:00""}], ""wed"": [{""open"": ""11:00:00"", ""close"": ""00:00:00""}], ""thu"": [{""open"": ""11:00:00"", ""close"": ""00:00:00""}], ""fri"": [{""open"": ""11:00:00"", ""close"": ""00:00:00""}], ""sat"": [{""open"": ""11:00:00"", ""close"": ""00:00:00""}]}",https://saladboxmarrakech.com/menu.pdf,,$,"['American', 'Fast Food', 'European', 'Healthy']",['Gluten free options'],"['Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","['Takeout', 'Outdoor Seating', 'Seating', 'Street Parking', 'Wheelchair Accessible', 'American Express', 'Mastercard', 'Visa', 'Free Wifi', 'Discover', 'Table Service']",[],"['Cheap Eats', 'American', 'Fast Food', 'Gluten free options']",Marrakech,Restaurant,"['American', 'Fast Food', 'European', 'Healthy', 'Gluten free options', 'Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks', 'Takeout', 'Outdoor Seating', 'Seating', 'Street Parking', 'Wheelchair Accessible', 'American Express', 'Mastercard', 'Visa', 'Free Wifi', 'Discover', 'Table Service', 'Cheap Eats', 'American', 'Fast Food', 'Gluten free options']","['Oreintal', 'Cuisine', 'Hospitality', 'Evening Activities']"
8,23937915,Lao Marrakech,,1923.0,5.0,https://www.tripadvisor.com/Restaurant_Review-g293734-d23937915-Reviews-Lao_Marrakech-Marrakech_Marrakech_Safi.html,contact.lao.marrakech@gmail.com,+212 662-868040,http://www.lao-marrakech.com,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/fc/70/30/le-restaurant-lao-marrakech.jpg,"{""current_rank"": 6, ""total"": 1580}","Et 16, Benhafssa 14, Rue Oued El Makhazine Au Dessus Du Kfc De Gueliz, Marrakech 40000 Morocco","{""street"": ""Et 16, Benhafssa 14, Rue Oued El Makhazine, Au Dessus Du Kfc De Gueliz"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.631859,-8.008274,"{""1"": 12, ""2"": 14, ""3"": 19, ""4"": 75, ""5"": 1803}","[""sushi"", ""steak"", ""chicken supreme"", ""ceviche"", ""truffle"", ""fresh fish"", ""penne"", ""salmon"", ""lamb shoulder"", ""couscous"", ""perfect for a date night"", ""seated right away"", ""delicious food"", ""amazing evening"", ""by the glass"", ""fabulous restaurant"", ""an excellent meal"", ""our waiter"", ""top floor"", ""lovely dinner"", ""special occasion"", ""highly recommend this restaurant"", ""nice view"", ""last night"", ""rooftop restaurant"", ""dining experience"", ""lovely atmosphere"", ""koko"", ""abdu"", ""servers""]",False,"{""sun"": [{""open"": ""19:30:00"", ""close"": ""02:00:00""}], ""mon"": [{""open"": ""19:30:00"", ""close"": ""02:00:00""}], ""tue"": [{""open"": ""19:30:00"", ""close"": ""02:00:00""}], ""wed"": [{""open"": ""19:30:00"", ""close"": ""02:00:00""}], ""thu"": [{""open"": ""19:30:00"", ""close"": ""02:00:00""}], ""fri"": [{""open"": ""19:30:00"", ""close"": ""02:00:00""}], ""sat"": [{""open"": ""19:30:00"", ""close"": ""02:00:00""}]}",https://www.lao-marrakech.com/menu/,,$$$$,"['French', 'International', 'Diner', 'Healthy', 'Wine Bar']",[],"['Lunch', 'Dinner', 'Late Night']","['Reservations', 'Private Dining', 'Seating', 'Valet Parking', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']",[],"['Fine Dining', 'French', 'International']",Marrakech,Restaurant,"['French', 'International', 'Diner', 'Healthy', 'Wine Bar', 'Lunch', 'Dinner', 'Late Night', 'Reservations', 'Private Dining', 'Seating', 'Valet Parking', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Fine Dining', 'French', 'International']","['Arabic', 'Cuisine', 'Accommodation', 'Live Jazz & Blues', 'sunbeds', 'Mindful']"
9,7009101,NOMAD,"In 2014, Kamal Laftimi and Sebastian de Gzell took over an old carpet store off the famed Rahba Lakdima spice square (places des epices) and, alongside interior designer Romain Meniere, transformed it into ""Nomad"". With a strong emphasis on fresh local produce and ample variety for vegetarians, pescetarians, and carnivores alike, the lively restaurant serves simple ""Modern Moroccan"" cuisine: revisions of traditional local cuisine and international dishes with a Moroccan twist. Spread over 4 floors, with intimate dining rooms and two levels of terraces that offer fantastic views of the surrounding Medina and Atlas mountain range (when visible between November and May), Nomad is perfect for both lunch and dinner, or to simply repose from the hustle and bustle of the souks with a much-needed drink.",6724.0,4.0,https://www.tripadvisor.com/Restaurant_Review-g293734-d7009101-Reviews-NOMAD-Marrakech_Marrakech_Safi.html,info@nomadmarrakech.com,+212 5243-81609,http://nomadmarrakech.com,https://media-cdn.tripadvisor.com/media/photo-o/12/1a/06/d9/nomad-rooftop.jpg,"{""current_rank"": 264, ""total"": 1580}","1, Derb Aajrane, Marrakech 40000 Morocco","{""street"": ""1, Derb Aajrane"", ""city"": null, ""postal_code"": ""40000"", ""state"": null, ""country_code"": ""MA""}",31.628593,-7.987534,"{""1"": 251, ""2"": 444, ""3"": 988, ""4"": 2094, ""5"": 2947}","[""lamb burger"", ""courgette fritters"", ""cake"", ""tagine"", ""ice cream"", ""salad"", ""juice"", ""spice market"", ""no alcohol"", ""roof terrace"", ""moroccan food"", ""le jardin"", ""nice view"", ""atlas mountains"", ""nice restaurant"", ""mint tea"", ""medina"", ""sunset"", ""vegetarian"", ""blankets"", ""morocco"", ""roofs"", ""twist"", ""tourists"", ""stylish"", ""square"", ""break""]",True,"{""sun"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""mon"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""tue"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""wed"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""thu"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""fri"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""sat"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}]}",,,$$ - $$$,"['Moroccan', 'Mediterranean', 'Contemporary', 'Healthy', 'Middle Eastern']","['Vegetarian friendly', 'Vegan options', 'Halal', 'Gluten free options']","['Lunch', 'Dinner', 'Brunch', 'Late Night']","['Reservations', 'Outdoor Seating', 'Seating', 'Highchairs Available', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']",[],"['Mid-range', 'Moroccan', 'Mediterranean', 'Vegetarian friendly']",Marrakech,Restaurant,"['Moroccan', 'Mediterranean', 'Contemporary', 'Healthy', 'Middle Eastern', 'Vegetarian friendly', 'Vegan options', 'Halal', 'Gluten free options', 'Lunch', 'Dinner', 'Brunch', 'Late Night', 'Reservations', 'Outdoor Seating', 'Seating', 'Highchairs Available', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Mid-range', 'Moroccan', 'Mediterranean', 'Vegetarian friendly']","['experience', 'Heritage', 'Nightlife', 'Easy Access', 'Lounge & Leisure', 'Accessible Leisure', 'Supportive Atmosphere']"
